content_category,total_count,avg_preference,avg_release_year
"Movie - Music & Musicals, Romantic Movies",1,90.0,2017.0
"Movie - Music & Musicals, Stand-Up Comedy",7,78.71428571428571,2014.5714285714287
Movie - Romantic Movies,3,72.33333333333333,2017.6666666666667
Movie - Sci-Fi & Fantasy,1,84.0,2018.0
"Movie - Sci-Fi & Fantasy, Thrillers",12,74.33333333333333,2014.6666666666667
Movie - Sports Movies,1,94.0,2017.0
Movie - Stand-Up Comedy,334,69.74850299401197,2015.6167664670659
Movie - Thrillers,65,72.87692307692308,2013.3384615384616
TV Show - Anime Series,10,67.5,2010.9
"TV Show - Anime Series, Crime TV Shows",3,69.66666666666667,2012.6666666666667
"TV Show - Anime Series, Crime TV Shows, International TV Shows",11,62.63636363636363,2016.4545454545455
"TV Show - Anime Series, Crime TV Shows, TV Horror",1,84.0,2021.0
"TV Show - Anime Series, Crime TV Shows, TV Thrillers",1,43.0,2015.0
"TV Show - Anime Series, International TV Shows",88,70.19318181818181,2015.2727272727273
"TV Show - Anime Series, International TV Shows, Romantic TV Shows",9,64.55555555555556,2015.7777777777778
"TV Show - Anime Series, International TV Shows, Spanish-Language TV Shows",1,59.0,2021.0
"TV Show - Anime Series, International TV Shows, TV Horror",3,74.33333333333333,2017.0
"TV Show - Anime Series, International TV Shows, TV Thrillers",5,71.2,2018.8
"TV Show - Anime Series, International TV Shows, Teen TV Shows",9,77.33333333333333,2016.111111111111
"TV Show - Anime Series, Kids' TV",23,68.78260869565217,2013.2173913043478
"TV Show - Anime Series, Kids' TV, TV Action & Adventure",1,58.0,2021.0
"TV Show - Anime Series, Romantic TV Shows",2,75.0,2012.0
"TV Show - Anime Series, Romantic TV Shows, Teen TV Shows",3,66.33333333333333,2011.3333333333333
"TV Show - Anime Series, Stand-Up Comedy & Talk Shows",1,57.0,2021.0
"TV Show - Anime Series, TV Horror, TV Thrillers",2,76.5,2021.0
"TV Show - Anime Series, Teen TV Shows",3,83.33333333333333,2012.0
"TV Show - British TV Shows, Classic & Cult TV, International TV Shows",3,61.333333333333336,2001.6666666666667
"TV Show - British TV Shows, Classic & Cult TV, Kids' TV",1,75.0,2020.0
"TV Show - British TV Shows, Classic & Cult TV, TV Comedies",2,65.0,1996.0
"TV Show - British TV Shows, Crime TV Shows, Docuseries",21,74.38095238095238,2017.142857142857
"TV Show - British TV Shows, Crime TV Shows, International TV Shows",25,75.44,2017.8
"TV Show - British TV Shows, Crime TV Shows, TV Dramas",4,64.5,2015.5
"TV Show - British TV Shows, Docuseries",12,59.916666666666664,2013.5
"TV Show - British TV Shows, Docuseries, International TV Shows",30,66.1,2014.7666666666667
"TV Show - British TV Shows, Docuseries, Reality TV",1,75.0,2016.0
"TV Show - British TV Shows, Docuseries, Science & Nature TV",25,75.8,2014.28
"TV Show - British TV Shows, Docuseries, TV Comedies",1,83.0,2014.0
"TV Show - British TV Shows, International TV Shows, Reality TV",27,75.03703703703704,2017.962962962963
"TV Show - British TV Shows, International TV Shows, Romantic TV Shows",7,64.42857142857143,2017.4285714285713
"TV Show - British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",1,60.0,2018.0
"TV Show - British TV Shows, International TV Shows, TV Action & Adventure",5,63.2,2017.8
"TV Show - British TV Shows, International TV Shows, TV Comedies",17,74.88235294117646,2018.3529411764705
"TV Show - British TV Shows, International TV Shows, TV Dramas",14,73.0,2018.7142857142858
"TV Show - British TV Shows, Kids' TV",20,58.8,2017.05
"TV Show - British TV Shows, Kids' TV, TV Comedies",7,72.28571428571429,2013.142857142857
"TV Show - British TV Shows, Kids' TV, TV Dramas",2,64.0,2020.0
"TV Show - British TV Shows, Kids' TV, TV Thrillers",1,90.0,2019.0
"TV Show - British TV Shows, Reality TV",9,68.77777777777777,2017.3333333333333
